scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,peak_power,noise_floor,cfar_score
synthetic,count1_r140_norm_b65,20.0,0,1,75-150,16.675817953904463,23.141559062321292,6.465741108416829,665057.1715441965,3226.287568617392,14.947407644429676
synthetic,count1_r140_norm_b65,20.0,0,2,75-150,19.099642235942987,25.845244205890545,6.745601969947558,1316452.9595174207,3426.73818927905,27.85700313596123
synthetic,count1_r280_norm_b0,-10.0,0,0,225-300,-27.88632125368877,16.88574207075439,44.77206332444316,26.96373051335989,0.5523390783072399,3.539844459416388
synthetic,count1_r280_norm_b0,-5.0,0,0,225-300,-22.88632125368877,20.811950935433778,43.69827218912255,83.8155803640741,0.6952318550934756,8.741884537304824
synthetic,count1_r280_norm_b0,0.0,0,0,225-300,-17.88632125368877,23.56598448052707,41.45230573421584,263.46500784590546,1.1591095777323264,16.481943480914815
synthetic,count1_r280_norm_b0,5.0,0,0,225-300,-12.88632125368877,24.969583115638102,37.85590436932687,831.3318111042277,2.64737880544721,22.77027543885767
synthetic,count1_r280_norm_b0,10.0,0,0,225-300,-7.88632125368877,25.506617905359743,33.39293915904851,2626.6671896799453,7.391681728055523,25.767469047198016
synthetic,count1_r280_norm_b0,15.0,0,0,225-300,-2.88632125368877,25.67800421661087,28.56432547029964,8303.274380936591,22.462028178020873,26.804665635373734
synthetic,count1_r280_norm_b0,20.0,0,0,225-300,2.11367874631123,25.726015039030706,23.612336292719476,26252.96341499535,70.23875895583114,27.102632506729186
synthetic,count1_r280_norm_b40,-10.0,0,0,225-300,-27.88632125368877,16.47798113161304,44.36430238530181,26.91191069136129,0.6055449961356518,3.2226124876245454
synthetic,count1_r280_norm_b40,-10.0,0,2,150-225,-23.47220440398968,19.54892884313773,43.02113324712741,71.14487380165419,0.7893156777247694,6.5358617441444
synthetic,count1_r280_norm_b40,-5.0,0,0,225-300,-22.88632125368877,20.340207398247365,43.226528651936135,83.1599639611384,0.7689419463344065,7.842069959008001
synthetic,count1_r280_norm_b40,-5.0,0,2,150-225,-18.47220440398968,22.055355321052033,40.52755972504171,218.90244430694742,1.3636881885114336,11.639799636899966
synthetic,count1_r280_norm_b40,0.0,0,0,225-300,-17.88632125368877,23.057145375001596,40.943466628690366,260.3644937866163,1.2878557495305358,14.659680662136804
synthetic,count1_r280_norm_b40,0.0,0,2,150-225,-13.472204403989679,23.29232876541269,36.76453316940237,682.2247937342395,3.1966465700931823,15.475434414125447
