group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s1_t1118936860200_a1407,172,31,1,-0.11375860646623144,-0.3146170428740213,0.10147498656648789,0.25505028587762646,train
episode_id,s1_t1118936880200_a1336,248,31,1,-0.0482635267477374,-0.13523620550272195,0.04314966172184349,0.1683386795041373,train
episode_id,s1_t1118936880200_a1373,217,31,1,-0.05182270150843094,-0.142693497200169,0.06347452422537954,0.14991071813034648,train
episode_id,s1_t1118936880200_a1411,155,31,1,-0.06833472972202544,-0.2423392890643977,0.10885610467797918,0.2888478984498956,train
episode_id,s1_t1118936940200_a1485,128,16,1,-0.024586374838814477,-0.014331460669374442,0.019567512896536778,0.08680151693850573,V_select
episode_id,s1_t1118936960200_a1524,128,16,1,-0.009925332972584933,-0.0411243220353409,-0.026963531692447595,-0.05675318129761066,V_select
episode_id,s1_t1118936960200_a1530,120,16,1,-0.03108015335469896,-0.14191781713207835,0.030171071710137706,0.10809382334693927,V_select
episode_id,s1_t1118936960200_a1532,91,16,1,-0.006743867877213921,-0.0018961817018668947,-0.02650124117073325,-0.10192856832350758,V_select
episode_id,s1_t1118936980200_a1532,118,16,1,0.021551679361297836,0.05804925534080597,-0.032811459504379616,-0.1195403200054044,V_select
episode_id,s1_t1118936980200_a1534,115,16,1,-0.06015969144404432,-0.16363461619112338,-0.09470118577547298,-0.17708295812988972,V_select
episode_id,s1_t1118936980200_a1561,128,16,1,0.006742812902446694,-0.004709888472841775,0.06934025669297518,0.16591533652011525,V_select
episode_id,s1_t1118937000200_a1538,96,16,1,-0.08911848242778368,-0.25675747049611336,0.005428023892103951,0.017969064623791324,V_select
episode_id,s1_t1118937000200_a1580,114,16,1,-0.06031972474462909,-0.15653957470806198,-0.03776831065166362,-0.11067945792172924,V_select
episode_id,s1_t1118937000200_a1596,108,16,1,0.00846414225677136,-0.005640927612192401,0.0011785632171067127,0.0026310723091905503,V_select
episode_id,s1_t1118937020200_a1525,128,16,1,0.00011874013904446948,0.000805917602478922,-0.0005522959720889594,-0.00036308223358448653,V_select
episode_id,s1_t1118937020200_a1556,118,16,1,-0.009437929030868573,-0.010497352852005955,-0.0033686366529351607,-0.0071443150653862164,V_select
episode_id,s1_t1118937020200_a1566,128,16,1,-0.00046176371248340796,-0.00024701654348825773,2.7632042188696258e-05,0.0006257163210228567,V_select
episode_id,s1_t1118937040200_a1602,116,16,1,-0.006436200493596788,-0.01738778009762395,0.0021285765099696113,-0.002272589971095875,V_select
episode_id,s1_t1118937040200_a1637,128,16,1,0.0004971407604111581,-7.595205887752049e-06,-0.0001984831486943711,0.000973098471062861,V_select
episode_id,s1_t1118937040200_a1638,128,16,1,-0.07757795653738309,-0.11554565347781942,0.04506738746293021,0.07963094409888197,V_select
episode_id,s1_t1118937060200_a1627,118,16,1,0.11163479160338333,0.2501057827256691,-0.019323055812511866,-0.04145530226961822,V_select
episode_id,s1_t1118937060200_a1652,63,16,1,0.09388129280225797,0.21566867757852407,-0.014571628088570845,0.06308648032132967,V_select
episode_id,s1_t1118937060200_a1658,82,16,1,-0.06303941607198306,-0.20044418188320032,0.030485391371478186,0.08086182144106255,V_select
episode_id,s1_t1118937080200_a1692,112,16,1,0.019942316975898672,0.08524024243977113,0.021088976574826043,0.032622105822752386,V_select
episode_id,s1_t1118937080200_a1696,112,16,1,-0.04231215651773871,-0.15787820804618646,0.016908559838923296,0.04355443778547439,V_select
episode_id,s1_t1118937080200_a1706,128,16,1,-0.013009713724341287,-0.04760106329886744,0.048398661109182416,0.1314381480517564,V_select
episode_id,s1_t1118937100200_a1644,118,16,1,0.09683898460630004,0.3002973280829445,-0.023485442291526944,-0.07914798964585387,V_select
episode_id,s1_t1118937100200_a1686,128,16,1,-0.01922957995755778,-0.05142218930810081,0.014644891630497193,0.04073914085033842,V_select
episode_id,s1_t1118937100200_a1745,118,16,1,-0.00755102261703047,0.008473796402702998,-0.02850753999169567,-0.11859648467406386,V_select
