model,split,episode_id,targets,off_minus_on_ADE,off_minus_on_FDE,prediction_change_mean_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_best,train,s0_t1118935900200_a207,248,0.02052785096700645,0.05958535503263618,0.047115066384695904,146,102,146,102
A_best,train,s0_t1118935900200_a212,189,0.10779519937029074,0.25686204264389534,0.3265514507398216,60,92,62,88
A_best,train,s0_t1118935900200_a218,248,0.025825505810952106,0.06624991111562424,0.15932517275138208,96,126,117,105
A_best,train,s0_t1118935920200_a162,248,-0.0002587696306350632,-0.0008014441880862379,0.0010313812158602236,134,114,164,84
A_best,train,s0_t1118935920200_a170,195,0.015103930884564853,0.04686042314475061,0.06285395108783493,92,103,84,103
A_best,train,s0_t1118935920200_a233,232,0.1033545112654913,0.3028813525987473,0.3151892979679768,92,137,93,135
A_best,train,s0_t1118935940200_a203,248,0.12701955409401441,0.34716789282294236,0.24001254091860075,101,147,117,131
A_best,train,s0_t1118935940200_a213,220,0.0977950402567238,0.27505210965166077,0.2865752588505116,104,115,98,110
A_best,train,s0_t1118935940200_a247,211,0.051029383045474455,0.13262385303260688,0.08259424345626581,52,158,45,161
A_best,train,s0_t1118935960200_a244,110,0.24264721930154617,0.6685133253814125,0.43708104057666125,38,71,30,59
A_best,train,s0_t1118935960200_a289,248,0.08647600111722475,0.2550249225053542,0.19769101709232106,128,120,112,136
A_best,train,s0_t1118935960200_a317,222,0.2334985978940522,0.5565949950613399,0.505784351927588,63,159,66,152
A_best,train,s0_t1118935980200_a208,194,0.04656380647554668,0.10574687265287955,0.18814364946731602,61,106,80,72
A_best,train,s0_t1118935980200_a319,242,0.33253108358185324,0.8826738648319238,0.5687335778917364,60,168,60,168
