kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
detection,synthetic,count1_r140_norm_b65,0.0,0,0,75-150,-5.84512142712952,24.93852793138199,30.78364935851151,,264.76072032862334,0.8491819627451301,25.391485837866387
input,synthetic,count1_r140_norm_b65,0.0,0,1,75-150,-3.324182046095535,,,,,,
detection,synthetic,count1_r140_norm_b65,0.0,0,1,75-150,-3.324182046095535,24.37489912443532,27.699081170530853,,448.04193095735593,1.6361712147646585,22.30104605611734
input,synthetic,count1_r140_norm_b65,0.0,0,2,75-150,-0.9003577640570135,,,,,,
detection,synthetic,count1_r140_norm_b65,0.0,0,2,75-150,-0.9003577640570135,25.22371268931535,26.12407045337236,,806.9548003089978,2.4236948524571997,27.114811593198148
input,synthetic,count1_r140_norm_b65,5.0,0,0,75-150,-0.84512142712952,,,,,,
detection,synthetic,count1_r140_norm_b65,5.0,0,0,75-150,-0.84512142712952,25.49421037908352,26.33933180621304,,835.274676645497,2.3572642892377758,28.857344231744428
input,synthetic,count1_r140_norm_b65,5.0,0,1,75-150,1.675817953904465,,,,,,
detection,synthetic,count1_r140_norm_b65,5.0,0,1,75-150,1.675817953904465,24.57253969370199,22.896721739797528,,1416.8790349396181,4.944003902320333,23.339378737379885
input,synthetic,count1_r140_norm_b65,5.0,0,2,75-150,4.099642235942986,,,,,,
detection,synthetic,count1_r140_norm_b65,5.0,0,2,75-150,4.099642235942986,25.378473998427967,21.27883176248498,,2555.931170401144,7.408013319456637,28.098473195052186
input,synthetic,count1_r140_norm_b65,10.0,0,0,75-150,4.15487857287048,,,,,,
detection,synthetic,count1_r140_norm_b65,10.0,0,0,75-150,4.15487857287048,25.70045269180403,21.54557411893355,,2638.0836090809585,7.099753760012492,30.26081296913875
input,synthetic,count1_r140_norm_b65,10.0,0,1,75-150,6.675817953904465,,,,,,
detection,synthetic,count1_r140_norm_b65,10.0,0,1,75-150,6.675817953904465,24.62721931337373,17.951401359469266,,4480.874345486507,15.439770268192255,23.635089624985262
input,synthetic,count1_r140_norm_b65,10.0,0,2,75-150,9.099642235942987,,,,,,
detection,synthetic,count1_r140_norm_b65,10.0,0,2,75-150,9.099642235942987,25.423725718461977,16.32408348251899,,8090.251009312045,23.20541953202539,28.392778474507786
input,synthetic,count1_r140_norm_b65,15.0,0,0,75-150,9.15487857287048,,,,,,
detection,synthetic,count1_r140_norm_b65,15.0,0,0,75-150,9.15487857287048,25.77592498966306,16.62104641679258,,8336.728284109658,22.049723505471977,30.791285539905008
input,synthetic,count1_r140_norm_b65,15.0,0,1,75-150,11.675817953904465,,,,,,
detection,synthetic,count1_r140_norm_b65,15.0,0,1,75-150,11.675817953904465,24.639165674685263,12.963347720780797,,14170.546630621298,48.69339282406489,23.70019338068161
input,synthetic,count1_r140_norm_b65,15.0,0,2,75-150,14.099642235942987,,,,,,
detection,synthetic,count1_r140_norm_b65,15.0,0,2,75-150,14.099642235942987,25.435436604136594,11.335794368193607,,25597.657121389588,73.22452396743655,28.469443802821058
input,synthetic,count1_r140_norm_b65,20.0,0,0,75-150,14.15487857287048,,,,,,
detection,synthetic,count1_r140_norm_b65,20.0,0,0,75-150,14.15487857287048,25.804653491378012,11.649774918507532,,26353.26788261434,69.24192409382016,30.995644509125775
input,synthetic,count1_r140_norm_b65,20.0,0,1,75-150,16.675817953904463,,,,,,
detection,synthetic,count1_r140_norm_b65,20.0,0,1,75-150,16.675817953904463,24.639864657343303,7.964046703438839,,44812.8137138362,153.96278118175704,23.704008155690452
input,synthetic,count1_r140_norm_b65,20.0,0,2,75-150,19.099642235942987,,,,,,
detection,synthetic,count1_r140_norm_b65,20.0,0,2,75-150,19.099642235942987,25.437636729113215,6.337994493170228,,80972.22864700087,231.511420589786,28.48387000563421
input,synthetic,count1_r280_norm_b0,-5.0,0,0,225-300,-22.88632125368877,,,,,,
detection,synthetic,count1_r280_norm_b0,-5.0,0,0,225-300,-22.88632125368877,16.044000780375715,38.93032203406449,,5.296586276358353,0.1317030925606749,3.275181711200139
input,synthetic,count1_r280_norm_b0,-5.0,0,1,75-150,-11.750724705347457,,,,,,
input,synthetic,count1_r280_norm_b0,0.0,0,0,225-300,-17.88632125368877,,,,,,
detection,synthetic,count1_r280_norm_b0,0.0,0,0,225-300,-17.88632125368877,20.218098090722858,38.104419344411625,,16.50121978477699,0.15693009576134564,8.56337832333327
input,synthetic,count1_r280_norm_b0,0.0,0,1,75-150,-6.750724705347457,,,,,,
input,synthetic,count1_r280_norm_b0,5.0,0,0,225-300,-12.88632125368877,,,,,,
detection,synthetic,count1_r280_norm_b0,5.0,0,0,225-300,-12.88632125368877,23.31524763380851,36.20156888749728,,52.01274430008026,0.24242924294292972,17.4727026251134
input,synthetic,count1_r280_norm_b0,5.0,0,1,75-150,-1.7507247053474568,,,,,,
input,synthetic,count1_r280_norm_b0,10.0,0,0,225-300,-7.88632125368877,,,,,,
detection,synthetic,count1_r280_norm_b0,10.0,0,0,225-300,-7.88632125368877,24.975512354013105,32.861833607701875,,164.45117326403852,0.5229807949430759,25.608642511563875
input,synthetic,count1_r280_norm_b0,10.0,0,1,75-150,3.249275294652543,,,,,,
input,synthetic,count1_r280_norm_b0,15.0,0,0,225-300,-2.88632125368877,,,,,,
detection,synthetic,count1_r280_norm_b0,15.0,0,0,225-300,-2.88632125368877,25.6141479483799,28.500469202068672,,520.2636708902719,1.4282647114476328,29.66539374182377
input,synthetic,count1_r280_norm_b0,15.0,0,1,75-150,8.249275294652543,,,,,,
input,synthetic,count1_r280_norm_b0,20.0,0,0,225-300,2.11367874631123,,,,,,
