model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
B64,64,10.0,10.0,0.5,4,1,1,0,True,0.11369270441588242,0.49178501361872595
E0,256,10.0,10.0,0.5,5,2,2,0,False,0.0025813934113187997,0.009209544919321907
B64,64,10.0,10.0,0.5,5,1,1,0,True,0.1253264512344856,0.5424909781533387
E0,256,10.0,10.0,0.5,6,2,2,0,False,0.0015777063263726632,0.010790048620630753
B64,64,10.0,10.0,0.5,6,2,1,1,True,0.12808092303967555,0.5467122687924685
E0,256,10.0,10.0,0.5,7,4,2,2,False,0.0023021762539627844,0.013577645965929664
B64,64,10.0,10.0,0.5,7,1,1,0,True,0.11164337139328495,0.47336759489887387
E0,256,10.0,10.0,0.5,8,2,2,0,False,0.0022761146119165687,0.008779339721326098
B64,64,10.0,10.0,0.5,8,3,2,1,False,0.01673275645390504,0.07119246647683475
E0,256,10.0,10.0,0.5,9,2,2,0,False,0.0017576422905278832,0.008301941661174478
B64,64,10.0,10.0,0.5,9,1,1,0,True,0.0037517996098301865,0.00849660507801057
E0,256,10.0,10.0,0.5,10,2,2,0,False,0.0017902464667400864,0.00704638109071877
B64,64,10.0,10.0,0.5,10,2,1,1,True,0.12474940281870772,0.5260019433449318
E0,256,10.0,10.0,0.5,11,2,2,0,False,0.0019512121534432936,0.00816684138183096
B64,64,10.0,10.0,0.5,11,1,1,0,True,0.11491095808622731,0.47846443518088005
E0,256,10.0,10.0,0.5,12,2,2,0,False,0.001593149664813609,0.012430896656005844
B64,64,10.0,10.0,0.5,12,2,1,1,True,0.10831595495301372,0.44923796055482107
E0,256,10.0,10.0,0.5,13,2,2,0,False,0.00260761867787096,0.011524669578472145
B64,64,10.0,10.0,0.5,13,1,1,0,True,0.1291187876634865,0.5414343611676016
E0,256,10.0,10.0,0.5,14,2,2,0,False,0.0015354442855652906,0.01164788617626224
B64,64,10.0,10.0,0.5,14,2,1,1,True,0.05965142025024761,0.22898184746473216
E0,256,10.0,10.0,0.5,15,3,2,1,False,0.00241641893953215,0.018915532248695494
B64,64,10.0,10.0,0.5,15,2,2,0,False,0.035622570040160895,0.16287350029721084
E0,256,10.0,10.0,0.5,16,2,2,0,False,0.0016518663221205543,0.008233426406397187
B64,64,10.0,10.0,0.5,16,2,2,0,False,0.04250818663783207,0.19353177068039315
E0,256,10.0,10.0,0.5,17,2,2,0,False,0.0021861891811880696,0.022732702419368624
B64,64,10.0,10.0,0.5,17,1,1,0,True,0.10803269034622076,0.46996112142128893
E0,256,10.0,10.0,0.5,18,2,2,0,False,0.0024967893889709103,0.0173631578145661
B64,64,10.0,10.0,0.5,18,2,2,0,False,0.03333545611947386,0.1545480602001024
E0,256,10.0,10.0,0.5,19,2,2,0,False,0.0011511181904921841,0.01106430836198365
B64,64,10.0,10.0,0.5,19,3,2,1,False,0.018345225938276144,0.08403542124029743
E0,256,10.0,10.0,0.5,20,2,2,0,False,0.002693976619227101,0.01409351706656128
B64,64,10.0,10.0,0.5,20,1,1,0,True,0.12256106117470722,0.5133157370406345
E0,256,10.0,10.0,0.5,21,3,2,1,False,0.0025683313874509395,0.006838456784630324
B64,64,10.0,10.0,0.5,21,1,1,0,True,0.11549068412992369,0.4980423341962193
E0,256,10.0,10.0,0.5,22,3,2,1,False,0.0027098205874551695,0.016794619537789157
B64,64,10.0,10.0,0.5,22,1,1,0,True,0.12700839419616727,0.5600132448544626
E0,256,10.0,10.0,0.5,23,2,2,0,False,0.0020655975322938502,0.01251152371862958
B64,64,10.0,10.0,0.5,23,2,2,0,False,0.04327506559286576,0.20816062595003643
E0,256,10.0,10.0,0.5,24,2,2,0,False,0.0027894786950639627,0.018748269986397857
B64,64,10.0,10.0,0.5,24,3,2,1,False,0.04450437239228222,0.20616278477379452
E0,256,10.0,10.0,0.5,25,2,2,0,False,0.0018425575726865873,0.018131059286434176
B64,64,10.0,10.0,0.5,25,2,2,0,False,0.007018805413295581,0.04145055952297037
E0,256,10.0,10.0,0.5,26,3,2,1,False,0.0022618236180989015,0.015946793705318756
B64,64,10.0,10.0,0.5,26,1,1,0,True,0.11540456627474782,0.47343286494040754
E0,256,10.0,10.0,0.5,27,2,2,0,False,0.002759131257633385,0.019414572925742543
