ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
1.8904,8.2696,19,high,False,8,70,0.7058,18,1118935747600,2.5962,0,False,20,unresolved,8
3.0927,7.1764,18,high,False,8,60,0.5054,19,1118935748100,3.5981,0,False,20,unresolved,8
3.1658,5.3054,21,high,True,8,21,0.4299,20,1118935743100,3.5957,1,True,20,alignment_suspect,8
3.1658,5.3054,21,high,True,8,21,0.4299,20,1118935743600,3.5957,1,True,20,alignment_suspect,8
3.1658,5.3054,21,high,True,8,21,0.4299,20,1118935744100,3.5957,1,True,20,alignment_suspect,8
0.4864,1.4503,1070,high,True,149,124,0.9639,1081,1118936694100,1.4503,7,False,20,ambiguous_close_vehicle,8
0.4864,1.4503,1070,high,True,149,124,0.9639,1081,1118936694600,1.4503,7,False,20,ambiguous_close_vehicle,8
0.4671,1.4464,211,high,True,41,59,0.9793,220,1118935967600,1.4464,3,False,20,ambiguous_close_vehicle,3
0.6842,4.3058,15,high,True,5,27,2.4679,4,1118935723600,3.1521,3,True,20,true_tracking_tail,8
1.0037,4.1592,4,high,True,5,12,2.6145,15,1118935723100,3.6182,6,True,20,true_tracking_tail,8
0.4306,4.1049,15,high,True,5,25,2.6773,4,1118935723600,3.108,3,True,20,true_tracking_tail,8
5.5927,16.1087,41,high,True,7,97,0.924,39,1118935730100,6.5167,4,True,20,unresolved,8
4.3393,16.0371,63,high,True,10,88,0.9784,57,1118935749100,5.3177,0,True,20,unresolved,7
3.1009,8.1648,18,high,True,8,131,0.525,19,1118935754100,3.6258,5,True,20,unresolved,8
160.3773,3.9807,8,low,False,6,63,3.9807,8,1118935726600,164.358,2,True,20,true_tracking_tail,3
158.5844,3.1274,8,low,False,6,62,3.1274,8,1118935726600,161.7119,2,True,20,true_tracking_tail,3
30.7193,2.8193,1191,low,False,164,45,2.8193,1191,1118936785600,33.5385,2,False,20,true_tracking_tail,3
6.4202,9.3805,467,mid,False,66,86,0.3125,474,1118936130100,6.7327,6,True,20,alignment_suspect,6
6.4202,6.7327,473,mid,False,66,86,0.3125,474,1118936129600,6.7327,6,True,20,alignment_suspect,6
6.4202,6.7327,473,mid,False,66,86,0.3125,474,1118936130600,6.7327,6,True,20,alignment_suspect,6
1.0236,3.5024,2,mid,False,2,88,3.5024,2,1118935709100,4.526,2,False,20,true_tracking_tail,5
1.0236,3.5024,2,mid,False,2,88,3.5024,2,1118935709600,4.526,2,False,20,true_tracking_tail,5
0.9152,3.3643,2,mid,False,2,87,3.3643,2,1118935709100,4.2795,2,False,20,true_tracking_tail,5
2.9814,6.3183,618,mid,False,82,154,0.6687,617,1118936237600,3.6501,1,False,20,unresolved,6
3.9607,5.7923,473,mid,False,66,171,0.9,470,1118936137600,4.8607,4,True,20,unresolved,6
1.3852,5.6976,617,mid,False,82,20,0.8638,618,1118936224100,2.249,4,False,20,unresolved,6
4.6381,12.4527,617,mid,True,82,152,0.4207,604,1118936235600,5.0588,2,True,20,alignment_suspect,6
4.682,7.5205,617,mid,True,82,54,0.3294,615,1118936226100,5.0114,7,True,20,alignment_suspect,6
4.682,7.5205,617,mid,True,82,54,0.3294,615,1118936226600,5.0114,7,True,20,alignment_suspect,6
0.8479,4.4955,15,mid,True,4,96,4.4955,15,1118935711100,5.3434,0,True,20,true_tracking_tail,4
1.2948,3.7849,15,mid,True,4,99,3.7849,15,1118935711100,5.0797,0,True,20,true_tracking_tail,4
0.1355,3.2613,11,mid,True,4,117,3.1258,12,1118935713100,3.2613,1,True,20,true_tracking_tail,4
1.8371,6.7205,615,mid,True,82,165,0.7279,622,1118936237100,2.565,6,True,20,unresolved,6
3.0438,5.9427,1187,mid,True,160,173,0.5759,1185,1118936757600,3.6197,5,True,20,unresolved,6
1.6687,5.804,617,mid,True,82,19,0.7153,618,1118936224100,2.384,4,False,20,unresolved,6
10.0613,10.2291,56,high,False,9,104,0.1678,49,1118935752600,10.2291,6,True,5,alignment_suspect,7
3.4792,7.7529,18,high,False,8,126,0.3484,21,1118935754600,3.8276,2,True,5,alignment_suspect,8
3.4858,7.7125,18,high,False,8,125,0.3802,21,1118935754600,3.866,2,True,5,alignment_suspect,8
0.4705,1.4555,211,high,False,41,57,0.985,220,1118935967600,1.4555,3,False,5,ambiguous_close_vehicle,4
2.3497,16.529,4,high,False,5,10,11.643,15,1118935723100,13.9927,3,True,5,true_tracking_tail,8
2.0737,13.9489,4,high,False,5,9,9.3477,15,1118935723100,11.4214,3,True,5,true_tracking_tail,8
3.1475,10.5251,11,high,False,5,33,7.3776,12,1118935723600,10.5251,4,True,5,true_tracking_tail,8
1.9359,8.7799,19,high,False,8,44,0.9407,20,1118935746600,2.8766,5,True,5,unresolved,8
3.086,7.4378,19,high,False,8,103,0.6305,24,1118935750600,3.7165,7,True,5,unresolved,8
1.9359,6.3645,21,high,False,8,44,0.9407,20,1118935746100,2.8766,5,True,5,unresolved,8
18.7127,29.0961,37,high,True,7,163,0.0428,43,1118935736600,18.7555,5,True,5,alignment_suspect,8
7.164,14.2189,39,high,True,7,38,0.0285,37,1118935724100,7.1924,1,True,5,alignment_suspect,8
3.2379,7.6197,18,high,True,8,10,0.1428,19,1118935743100,3.3807,4,False,5,alignment_suspect,8
0.4992,1.4567,1070,high,True,149,124,0.9575,1081,1118936694600,1.4567,6,False,5,ambiguous_close_vehicle,8
0.4681,1.4469,211,high,True,41,59,0.9787,220,1118935967600,1.4469,3,False,5,ambiguous_close_vehicle,3
0.4681,1.4469,211,high,True,41,59,0.9787,220,1118935968100,1.4469,3,False,5,ambiguous_close_vehicle,3
0.9504,4.1338,7,high,True,5,14,2.6916,4,1118935723100,3.642,6,True,5,true_tracking_tail,8
2.181,3.8931,15,high,True,5,16,1.7121,7,1118935723100,3.8931,7,True,5,true_tracking_tail,8
0.9166,3.8475,5,high,True,5,9,2.9309,15,1118935723100,3.8474,5,False,5,true_tracking_tail,8
5.5724,16.0946,41,high,True,7,97,0.9385,39,1118935730100,6.5109,4,True,5,unresolved,8
2.9662,8.5371,20,high,True,8,96,0.5554,19,1118935750100,3.5216,7,True,5,unresolved,8
3.5713,7.6161,31,high,True,13,82,0.7666,86,1118935768600,4.3379,1,True,5,unresolved,8
160.3379,4.0186,8,low,False,6,63,4.0186,8,1118935726600,164.3566,3,True,5,true_tracking_tail,3
158.5584,3.1525,8,low,False,6,62,3.1525,8,1118935726600,161.7109,3,True,5,true_tracking_tail,3
30.6907,2.8348,1191,low,False,164,45,2.8348,1191,1118936785600,33.5255,2,False,5,true_tracking_tail,3
