origin,slot,all_ADE_rank,moving_ADE_rank,passes_motion,true_displacement_2s_m,average_displacement_speed_mps,valid_future_frames,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
217,5,141,,False,0.008534399999998499,0.004267199999999249,20,0.006152001768350601,0.015128365717828274,0.006411503255367279,0.010248113423585892
0,1,142,,False,0.06492526190875204,0.03246263095437602,20,0.006246257945895195,0.013718564994633198,0.0075841136276721954,0.0163152776658535
369,3,143,,False,0.0,0.0,20,0.006259981542825699,0.0075963945128023624,0.007790187001228332,0.009175839833915234
389,4,144,,False,0.0,0.0,20,0.006268905103206634,0.014427980408072472,0.006705449521541595,0.01497646328061819
122,0,145,,False,0.21082026930104894,0.10541013465052447,20,0.006303279846906662,0.010729230009019375,0.006127791851758957,0.009300107136368752
157,7,146,,False,0.005799215505570696,0.002899607752785348,20,0.006314543634653091,0.004965919069945812,0.004915272444486618,0.004983716644346714
185,6,147,,False,0.0,0.0,20,0.006319190561771393,0.009277567267417908,0.01034713238477707,0.01754804700613022
187,6,148,,False,0.0,0.0,20,0.00631956085562706,0.00926977675408125,0.010366222262382508,0.017577679827809334
188,6,149,,False,0.0,0.0,20,0.006320809572935104,0.009268862195312977,0.010389558225870132,0.01762930490076542
189,6,150,,False,0.0,0.0,20,0.006322343647480011,0.009268862195312977,0.010390346497297287,0.01763000711798668
186,6,151,,False,0.0,0.0,20,0.006324607878923416,0.009284080937504768,0.010337138175964355,0.017526304349303246
184,6,152,,False,0.0,0.0,20,0.006326645612716675,0.009279514662921429,0.01039659082889557,0.017611471936106682
191,6,153,,False,0.0,0.0,20,0.006331652402877808,0.009303873404860497,0.010384990274906159,0.017603322863578796
190,6,154,,False,0.0,0.0,20,0.006332265585660935,0.009304331615567207,0.010440114885568619,0.01769479550421238
181,6,155,,False,0.0,0.0,20,0.006338999420404434,0.009920495562255383,0.004459366947412491,0.0037522991187870502
371,3,156,,False,0.0,0.0,20,0.006350622326135635,0.00909487809985876,0.0073757655918598175,0.008406425826251507
219,3,157,,False,0.057658783254589556,0.028829391627294778,20,0.006351112574338913,0.007699308916926384,0.008032654970884323,0.016872640699148178
160,2,158,,False,0.03871079998140478,0.01935539999070239,20,0.006356352567672729,0.003870337037369609,0.007813192903995514,0.011301446706056595
178,6,159,,False,0.0,0.0,20,0.006380593031644821,0.009552828967571259,0.007825290411710739,0.010498737916350365
384,7,160,,False,0.0,0.0,20,0.006402535736560822,0.010382920503616333,0.007303066551685333,0.006456159986555576
182,1,161,,False,0.0,0.0,20,0.006424666196107864,0.004409437067806721,0.009127070754766464,0.012416169978678226
384,2,162,,False,0.0,0.0,20,0.006439965963363647,0.0060842218808829784,0.004449695348739624,0.003037270624190569
175,5,163,,False,0.034442400000017415,0.017221200000008707,20,0.006479615718126297,0.008714686147868633,0.008433480560779572,0.007950893603265285
363,0,164,,False,0.0,0.0,20,0.006490037590265274,0.006187594495713711,0.011080420017242432,0.019429488107562065
373,3,165,,False,0.0,0.0,20,0.006519746035337448,0.010167990811169147,0.007571104168891907,0.00787073839455843
177,6,166,,False,0.0,0.0,20,0.0065770730376243595,0.010498492047190666,0.004087039455771446,0.00523913512006402
372,3,167,,False,0.0,0.0,20,0.0065801598131656645,0.009920679964125156,0.007704628258943557,0.010122623294591904
364,0,168,,False,0.0,0.0,20,0.0065921306610107425,0.006431829649955034,0.011063608527183532,0.01939195767045021
233,2,169,,False,0.0022189774942574006,0.0011094887471287003,20,0.006602528691291809,0.008980115875601768,0.007692565768957138,0.014587965793907642
219,6,170,,False,0.0,0.0,20,0.006617598980665207,0.00997229851782322,0.009624118357896805,0.01644657552242279
220,6,171,,False,0.0,0.0,20,0.006621749699115753,0.009958644397556782,0.008697216212749482,0.01476997695863247
366,0,172,,False,0.0,0.0,20,0.006630796939134598,0.006619627587497234,0.011066917330026627,0.019419964402914047
367,0,173,,False,0.0,0.0,20,0.006632447242736816,0.006618393585085869,0.011059871315956116,0.019403966143727303
223,6,174,,False,0.0,0.0,20,0.006635067611932754,0.010044073686003685,0.01017373576760292,0.017488056793808937
222,6,175,,False,0.0,0.0,20,0.006638874113559723,0.010045117698609829,0.01017008051276207,0.017473040148615837
221,6,176,,False,0.0,0.0,20,0.0066405080258846285,0.010046161711215973,0.010167208313941956,0.017472565174102783
395,4,177,,False,0.0,0.0,20,0.006641542166471481,0.01426034513860941,0.005804426595568657,0.009148341603577137
396,4,178,,False,0.0,0.0,20,0.006641802936792373,0.014267920516431332,0.005802914500236511,0.009140713140368462
397,4,179,,False,0.0,0.0,20,0.006642225384712219,0.014267830178141594,0.005801068618893623,0.009140737354755402
394,4,180,,False,0.0,0.0,20,0.006642299145460129,0.014260437339544296,0.005805927515029907,0.009148312732577324
305,5,181,,False,0.0,0.0,20,0.006642595678567886,0.010263978503644466,0.0052128367125988005,0.008134155534207821
