split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,108,15,1131,1131,1131,1131,True,0,0,True
train,108,20,1131,1131,1131,1131,True,0,0,True
train,109,5,1261,1261,1261,1261,True,0,0,True
train,109,10,1261,1261,1261,1261,True,0,0,True
train,109,15,1261,1261,1261,1261,True,0,0,True
train,109,20,1261,1261,1261,1261,True,0,0,True
train,110,5,1592,1592,1592,1592,True,0,0,True
train,110,10,1592,1592,1592,1592,True,0,0,True
train,110,15,1592,1592,1592,1592,True,0,0,True
train,110,20,1592,1592,1592,1592,True,0,0,True
train,111,5,1592,1592,1592,1592,True,0,0,True
train,111,10,1592,1592,1592,1592,True,0,0,True
train,111,15,1592,1592,1592,1592,True,0,0,True
train,111,20,1592,1592,1592,1592,True,0,0,True
train,112,5,1592,1592,1592,1592,True,0,0,True
train,112,10,1592,1592,1592,1592,True,0,0,True
train,112,15,1592,1592,1592,1592,True,0,0,True
train,112,20,1592,1592,1592,1592,True,0,0,True
train,113,5,891,891,891,891,True,0,0,True
train,113,10,891,891,891,891,True,0,0,True
train,113,15,891,891,891,891,True,0,0,True
train,113,20,891,891,891,891,True,0,0,True
train,114,5,983,983,983,983,True,0,0,True
train,114,10,983,983,983,983,True,0,0,True
train,114,15,983,983,983,983,True,0,0,True
train,114,20,983,983,983,983,True,0,0,True
train,115,5,1280,1280,1280,1280,True,0,0,True
train,115,10,1280,1280,1280,1280,True,0,0,True
train,115,15,1280,1280,1280,1280,True,0,0,True
train,115,20,1280,1280,1280,1280,True,0,0,True
train,116,5,867,867,867,867,True,0,0,True
train,116,10,867,867,867,867,True,0,0,True
train,116,15,867,867,867,867,True,0,0,True
train,116,20,867,867,867,867,True,0,0,True
train,117,5,1512,1512,1512,1512,True,0,0,True
train,117,10,1512,1512,1512,1512,True,0,0,True
train,117,15,1512,1512,1512,1512,True,0,0,True
train,117,20,1512,1512,1512,1512,True,0,0,True
train,118,5,1270,1270,1270,1270,True,0,0,True
train,118,10,1270,1270,1270,1270,True,0,0,True
train,118,15,1270,1270,1270,1270,True,0,0,True
train,118,20,1270,1270,1270,1270,True,0,0,True
train,119,5,1270,1270,1270,1270,True,0,0,True
train,119,10,1270,1270,1270,1270,True,0,0,True
train,119,15,1270,1270,1270,1270,True,0,0,True
train,119,20,1270,1270,1270,1270,True,0,0,True
train,120,5,1268,1268,1268,1268,True,0,0,True
train,120,10,1268,1268,1268,1268,True,0,0,True
train,120,15,1268,1268,1268,1268,True,0,0,True
train,120,20,1268,1268,1268,1268,True,0,0,True
train,121,5,995,995,995,995,True,0,0,True
train,121,10,995,995,995,995,True,0,0,True
train,121,15,995,995,995,995,True,0,0,True
train,121,20,995,995,995,995,True,0,0,True
train,122,5,1592,1592,1592,1592,True,0,0,True
train,122,10,1592,1592,1592,1592,True,0,0,True
train,122,15,1592,1592,1592,1592,True,0,0,True
train,122,20,1592,1592,1592,1592,True,0,0,True
train,123,5,668,668,668,668,True,0,0,True
train,123,10,668,668,668,668,True,0,0,True
train,123,15,668,668,668,668,True,0,0,True
train,123,20,668,668,668,668,True,0,0,True
train,124,5,1405,1405,1405,1405,True,0,0,True
train,124,10,1405,1405,1405,1405,True,0,0,True
train,124,15,1405,1405,1405,1405,True,0,0,True
train,124,20,1405,1405,1405,1405,True,0,0,True
train,125,5,1527,1527,1527,1527,True,0,0,True
train,125,10,1527,1527,1527,1527,True,0,0,True
train,125,15,1527,1527,1527,1527,True,0,0,True
train,125,20,1527,1527,1527,1527,True,0,0,True
train,126,5,343,343,343,343,True,0,0,True
train,126,10,343,343,343,343,True,0,0,True
train,126,15,343,343,343,343,True,0,0,True
train,126,20,343,343,343,343,True,0,0,True
train,127,5,1393,1393,1393,1393,True,0,0,True
train,127,10,1393,1393,1393,1393,True,0,0,True
train,127,15,1393,1393,1393,1393,True,0,0,True
train,127,20,1393,1393,1393,1393,True,0,0,True
train,128,5,1469,1469,1469,1469,True,0,0,True
train,128,10,1469,1469,1469,1469,True,0,0,True
train,128,15,1469,1469,1469,1469,True,0,0,True
train,128,20,1469,1469,1469,1469,True,0,0,True
